ID_USUARIO;NOME_USUARIO;LOGRADOURO;BAIRRO;TELEFONE;CEP;CPF
1;Antonio Marcos da Silva;Avenida 23 de Maio 21;Jardim das Árvores;5844-2647;05728-354;193.107.214-21
2;Carlos Drummond de Andrade;Rua Martins Fontes 252;Parque Industrial;5846-6576;02182-635;122.147.655-47
3;Juliana Bento Souza;Avenida dos Bandeirantes 20;Residencial Dourados;5879-5469;05728-355;193.107.214-22
4;Arlene Batista;Avenida Eng. Luis Carlos Berrini 12;Vila Água Bonita;1254-5647;02182-636;122.147.655-48
5;Bret Berlusconi;Rua da Consolação 14;Vila Brasil;5844-2648;05728-356;193.107.214-23
6;Cindy Crall;Rua Ipiranga 123;Vila Cristal;5846-6577;02182-637;122.147.655-49
7;Donatelo Siqueira;Avenida Brigadeiro Faria Lima 50;Vila das Árvores;5879-5470;05728-357;193.107.214-24
8;Emily Mall;Rua Funchal 1000;Vila das Nações;1254-5648;02182-638;122.147.655-50
9;Franklin Pekens;Avenida Ibirapuera 300;Vila do Lago;5844-2649;05728-358;193.107.214-25
10;Gert Hender;Avenida Interlagos 247;Vila dos Estados;5846-6578;02182-639;122.147.655-51
11;Harvey Jonks;Avenida José Carlos Pace 23;Vila dos Pássaros;5879-5471;05728-359;193.107.214-26
12;Irene Silva;Avenida Pres. Juscelino Kubitschek 45;Vila Dourados;1254-5649;02182-640;122.147.655-52
13;Jose Albino;Avenida Brigadeiro Luis Antonio 48;Água Aguinha;5844-2650;05728-360;193.107.214-27
14;Katia Suellen;Marginal Pinheiros 69;Água Bonita;5846-6579;02182-641;122.147.655-53
15;Lee Shimizu;Avenida Nossa Sra. do Sabará 65;Conceição;5879-5472;05728-361;193.107.214-28
16;Maria Aparecida;Avenida Nove de Julho 72;Conjunto Metalúrgicos;1254-5650;02182-642;122.147.655-54
17;Nate Rogan;Rua Olimpíadas 68;Continental;5844-2651;05728-362;193.107.214-29
18;Ophelia Maria;Avenida Rebouças 2581;Distrito Industrial Altino;5846-6580;02182-643;122.147.655-55
19;Philippe Coutinho;Avenida do Rio Bonito 2541;Distrito Industrial Anhanguera;5879-5473;05728-363;193.107.214-30
20;Rina Pontes;Avenida Robert Kennedy 3965;Distrito Industrial Autonomistas;1254-5651;02182-644;122.147.655-56
21;Sean Woods;Avenida Jornalista Roberto Marinho 698;Distrito Industrial Centro;5844-2652;05728-364;193.107.214-31
22;Tammy Miranda;Avenida Santo Amaro 5879;Distrito Industrial Mazzei;5846-6581;02182-645;122.147.655-57
23;Vicente Del Bosque;Rua Maria Imaculada 6598;Distrito Industrial Remédios;5879-5474;05728-365;193.107.214-32
24;Whitney Cinse;Avenida Washington Luis 654747;Helena Maria;1254-5652;02182-646;122.147.655-58
25;Alberto Roberto;Avenida Alfredo Maia 584;IAPI;5844-2653;05728-366;193.107.214-33
26;Beryl Berey;Avenida Alfredo Maluf 265;Jaguaribe;5846-6582;02182-647;122.147.655-59
27;Chris Nicolas;Avenida Alfredo Pujol 987;Jardim D'Abril;5879-5475;05728-367;193.107.214-34
28;Debby Loyd;Avenida Amazonas 574;Jardim das Flores;1254-5653;02182-648;122.147.655-60
29;Ernesto Coimbra;Avenida Ampére 414;Jardim Elvira;5844-2654;05728-368;193.107.214-35
30;Florence Seedorf;Avenida Ana Camargo 174;Jardim Mutinga;5846-6583;02182-649;122.147.655-61
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
